,Date,Open,High,Low,Close,Adj Close,Volume,Tweet Vol,Sentiment
0,2020-11-02,506.30999800000006,513.469971,495.799988,503.23001100000005,503.08139000000006,7491300,556,82.81809072871559
1,2020-11-03,508.339996,524.200012,504.10998499999994,520.780029,520.626221,6822500,537,86.07874114099992
2,2020-11-04,535.570007,553.099976,533.47998,551.77002,551.607056,10255700,570,106.95888937090409
3,2020-11-05,566.5,573.5599980000001,559.6400150000001,566.400024,566.232727,7975700,513,76.89750494875487
4,2020-11-06,564.3900150000001,583.549988,555.799988,582.47998,582.307922,9583700,448,80.55716172889603
5,2020-11-09,582.099976,587.659973,544.429993,545.22998,545.06897,14574400,479,86.08335571075736
6,2020-11-10,544.26001,544.26001,505.130005,510.799988,510.649139,16101700,582,120.35040505501415
7,2020-11-11,522.150024,537.400024,517.929993,536.719971,536.561462,10118600,554,105.33967803030296
8,2020-11-12,539.159973,550.6400150000001,532.6400150000001,538.27002,538.111023,9145300,514,97.01898042929278
9,2020-11-13,545.090027,546.75,522.369995,531.880005,531.7229,8657800,564,77.74461760260445
10,2020-11-16,526.900024,545.97998,526.23999,540.6099849999999,540.450317,10344400,457,62.48952366408729
11,2020-11-17,542.099976,543.849976,532.150024,536.8900150000001,536.731445,7800700,505,81.48873752404995
12,2020-11-18,538.6099849999999,544.22998,527.400024,537.150024,536.991394,12773100,649,88.71429844079583
13,2020-11-19,528.51001,539.5,524.0,537.6099849999999,537.451233,14148400,451,73.59172879075075
14,2020-11-20,538.159973,539.780029,522.599976,523.51001,523.355408,8500500,586,82.10690111843341
15,2020-11-23,526.849976,535.299988,520.619995,525.599976,525.444763,9033900,392,57.70649727934101
16,2020-11-24,525.700012,526.47998,515.400024,518.3099980000001,518.156921,8662500,414,63.71934275793644
17,2020-11-25,521.299988,530.780029,520.799988,529.3900150000001,529.2336429999999,6497900,361,53.87019196428569
18,2020-11-27,535.0,536.299988,526.820007,530.450012,530.293335,4181900,440,89.21598569293656
19,2020-11-30,530.599976,536.5,518.8900150000001,536.0599980000001,535.901672,7173800,1382,217.844388622263
20,2020-12-01,539.6900019999999,541.150024,529.130005,535.599976,535.441772,7439300,6881,912.3798434547275
21,2020-12-02,534.02002,546.9400019999999,529.369995,541.780029,541.619995,7084000,8229,872.9575691430972
22,2020-12-03,543.5,546.400024,533.159973,535.840027,535.840027,4988000,5026,665.1024329287737
23,2020-12-04,537.9400019999999,542.400024,535.549988,542.330017,542.330017,5056100,5601,2056.8836378781425
24,2020-12-07,544.049988,549.25,540.0,544.27002,544.27002,5581100,14585,2997.1660800624513
25,2020-12-08,543.400024,543.950012,531.26001,534.0,534.0,6798000,9584,1903.559791778869
26,2020-12-09,532.02002,536.5599980000001,514.72998,517.22998,517.22998,10032500,11323,1155.2166689559774
27,2020-12-10,514.76001,522.75,513.97998,518.8900150000001,518.8900150000001,5194100,13051,939.9464088204769
28,2020-12-11,518.6900019999999,520.799988,512.919983,520.530029,520.530029,5231600,13461,1425.9496923034758
29,2020-12-14,523.52002,535.549988,523.099976,532.349976,532.349976,6753900,6240,662.8043324640413
30,2020-12-15,537.590027,538.5599980000001,527.469971,534.419983,534.419983,4837100,5737,613.2964902916171
31,2020-12-16,536.900024,537.48999,528.5,529.700012,529.700012,5577900,5940,687.1943692372007
32,2020-12-17,534.669983,535.179993,527.1400150000001,533.650024,533.650024,5784600,5298,574.2450925654405
33,2020-12-18,535.159973,536.200012,522.820007,530.880005,530.880005,8551600,5040,524.092974562153
34,2020-12-21,522.98999,534.799988,518.700012,533.289978,533.289978,7558300,3962,421.90421706232155
35,2020-12-22,532.77002,533.48999,522.159973,531.130005,531.130005,4639500,4137,454.61018593987785
36,2020-12-23,530.23999,531.0,520.200012,520.369995,520.369995,4478600,3295,329.2185945369121
37,2020-12-24,521.48999,525.299988,517.549988,519.75,519.75,2447100,3031,369.5210095677574
38,2020-12-28,522.5,522.5,510.52999900000003,516.0,516.0,5314100,3317,352.0483367774412
39,2020-12-29,517.0,522.900024,513.6900019999999,517.72998,517.72998,4259300,3765,405.9270358645135
40,2020-12-30,519.6099849999999,528.549988,515.869995,525.830017,525.830017,5634900,4010,418.06577035994576
41,2020-12-31,525.460022,526.039978,516.599976,522.200012,522.200012,4806500,2789,303.98180001440704
